zipcode,City,Region
98133,Seattle,North West
98023,Federal Way,South West
98038,Maple Valley,South East
98133,Seattle,North West
98115,Seattle,North West
98059,Renton,Central
98133,Seattle,North West
98028,Kenmore,North West
98119,Seattle,North West
98003,Federal Way,South West
98117,Seattle,North West
98092,Auburn,South East
98053,Redmond,North East
98119,Seattle,North West
98166,Burien,South West
98011,Bothell,North West
98058,Renton,Central
98178,Tukwila,Central
98144,Seattle,North West
98031,Kent,South West
98125,Seattle,North West
98103,Seattle,North West
98028,Kenmore,North West
98004,Bellevue,Central
98103,Seattle,North West
98056,Renton,Central
98122,Seattle,North West
98144,Seattle,North West
98006,Bellevue,Central
98011,Bothell,North West
98074,Sammamish,North East
98106,Seattle,North West
98034,Kirkland,North West
98059,Renton,Central
98001,Federal Way,South West
98122,Seattle,North West
98075,Sammamish,North East
98107,Seattle,North West
98002,Auburn,South East
98178,Tukwila,Central
98027,Issaquah,North East
98126,Seattle,North West
98144,Seattle,North West
98022,Enumclaw,South East
98001,Federal Way,South West
98055,Renton,Central
98188,Seattle,North West
98001,Federal Way,South West
98198,Seattle,North West
98022,Enumclaw,South East
98136,Seattle,North West
98027,Issaquah,North East
98146,Seattle,North West
98106,Seattle,North West
98103,Seattle,North West
98136,Seattle,North West
98031,Kent,South West
98052,Redmond,North East
98014,Carnation,North East
98116,Seattle,North West
98168,Tukwila,Central
98034,Kirkland,North West
98125,Seattle,North West
98010,Black Diamond,South East
98027,Issaquah,North East
98038,Maple Valley,South East
98033,Kirkland,North West
98006,Bellevue,Central
98011,Bothell,North West
98125,Seattle,North West
98059,Renton,Central
98117,Seattle,North West
98053,Redmond,North East
98005,Bellevue,Central
98125,Seattle,North West
98038,Maple Valley,South East
98055,Renton,Central
98042,Kent,South West
98034,Kirkland,North West
98038,Maple Valley,South East
98055,Renton,Central
98003,Federal Way,South West
98133,Seattle,North West
98034,Kirkland,North West
98166,Burien,South West
98003,Federal Way,South West
98106,Seattle,North West
98045,North Bend,North East
98053,Redmond,North East
98107,Seattle,North West
98008,Bellevue,Central
98115,Seattle,North West
98126,Seattle,North West
98008,Bellevue,Central
98075,Sammamish,North East
98065,Snoqualmie,North East
98116,Seattle,North West
98052,Redmond,North East
98105,Seattle,North West
98055,Renton,Central
98075,Sammamish,North East
98118,Seattle,North West
98052,Redmond,North East
98032,Kent,South West
98077,Woodinville,North West
98077,Woodinville,North West
98136,Seattle,North West
98199,Seattle,North West
98042,Kent,South West
98004,Bellevue,Central
98126,Seattle,North West
98133,Seattle,North West
98040,Mercer Island,Central
98115,Seattle,North West
98144,Seattle,North West
98117,Seattle,North West
98155,Shoreline,North West
98125,Seattle,North West
98023,Federal Way,South West
98117,Seattle,North West
98031,Kent,South West
98074,Sammamish,North East
98059,Renton,Central
98001,Federal Way,South West
98031,Kent,South West
98119,Seattle,North West
98115,Seattle,North West
98144,Seattle,North West
98178,Tukwila,Central
98027,Issaquah,North East
98199,Seattle,North West
98033,Kirkland,North West
98059,Renton,Central
98008,Bellevue,Central
98065,Snoqualmie,North East
98144,Seattle,North West
98052,Redmond,North East
98177,Seattle,North West
98178,Tukwila,Central
98074,Sammamish,North East
98177,Seattle,North West
98112,Seattle,North West
98105,Seattle,North West
98092,Auburn,South East
98122,Seattle,North West
98133,Seattle,North West
98115,Seattle,North West
98105,Seattle,North West
98042,Kent,South West
98115,Seattle,North West
98028,Kenmore,North West
98038,Maple Valley,South East
98034,Kirkland,North West
98188,Seattle,North West
98010,Black Diamond,South East
98133,Seattle,North West
98006,Bellevue,Central
98075,Sammamish,North East
